Nome completo,Continente,País,Década principal de impacto,Ano de nascimento,Período de atividade documentado,Principal impacto (resumo),Setor de atuação (categoria),Instituição/Organização de vínculo,Local de nascimento/residência,Principais obras/contribuições (máx. 3 linhas),Links de comprovação (1 por linha),Qualidade da evidência (Alto/Médio/Baixo)
Heidrun Schumann,Europa,,1950s,1954,,German computer scientist,computer scientist; information scientist; university teacher,,,,https://en.wikipedia.org/wiki/Heidrun_Schumann,Médio
Angelika Steger,Europa,Germany,1960s,1962,,Mathematician and computer scientist,computer scientist; mathematician,,Munich,,https://en.wikipedia.org/wiki/Angelika_Steger,Médio
Leena Suhl,Europa,Finland,1950s,1953,,Finnish-German operations researcher,computer scientist,,Kuopio,,https://en.wikipedia.org/wiki/Leena_Suhl,Médio
Laura Vargas Koch,Europa,Germany,1990s,1990,,German judoka (born 1990),judoka,,Berlin,,https://en.wikipedia.org/wiki/Laura_Vargas_Koch,Médio
Birgit Vogel-Heuser,Europa,Germany,1960s,1961,,German computer scientist and professor,computer scientist,,,,https://en.wikipedia.org/wiki/Birgit_Vogel-Heuser,Médio
Tatiana von Landesberger,Europa,,1970s,1979,,Slovak-German computer scientist (born 1979),computer scientist,,,,https://en.wikipedia.org/wiki/Tatiana_von_Landesberger,Médio
Ulrike von Luxburg,Europa,Germany,1970s,1975,,German computer scientist,computer scientist; university teacher,,Regensburg,,https://en.wikipedia.org/wiki/Ulrike_von_Luxburg,Médio
Dorothea Wagner,Europa,Germany,1950s,1957,,German computer scientist,computer scientist; university teacher,,Trier,,https://en.wikipedia.org/wiki/Dorothea_Wagner,Médio
Stephanie Wehner,Europa,Germany,1970s,1977,,German physicist and computer scientist,computer scientist; physicist; scientist; university teacher,,Würzburg,,https://en.wikipedia.org/wiki/Stephanie_Wehner,Médio
Susanne Wetzel,Europa,Germany,1950s,1950,,German computer scientist and professor,computer scientist; professor,,,,https://en.wikipedia.org/wiki/Susanne_Wetzel,Médio
Luigia Carlucci Aiello,Europa,Italy,1940s,1946,,Italian computer scientist,information scientist,,Cerreto d'Esi,,https://en.wikipedia.org/wiki/Luigia_Carlucci_Aiello,Médio
Paola Bonizzoni,Europa,Italy,1960s,1964,,Italian computer scientist,computer scientist; university teacher,,,,https://en.wikipedia.org/wiki/Paola_Bonizzoni,Médio
Alessandra Carbone,Europa,Italy,1960s,1962,,Italian mathematician and computer scientist,computer scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Alessandra_Carbone,Médio
Mariangiola Dezani-Ciancaglini,Europa,,1940s,1946,,Italian logician and theoretical computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Mariangiola_Dezani-Ciancaglini,Médio
Susanna Donatelli,Europa,,1960s,1960,,Italian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Susanna_Donatelli,Médio
Floriana Esposito,Europa,,1940s,1947,,Italian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Floriana_Esposito,Médio
Stefania Gnesi,Europa,,1950s,1954,,Italian software engineer,researcher,,,,https://en.wikipedia.org/wiki/Stefania_Gnesi,Médio
Paola Inverardi,Europa,Italy,1950s,1957,,Italian computer scientist,computer scientist,,L'Aquila,,https://en.wikipedia.org/wiki/Paola_Inverardi,Médio
Patricia Lago,Europa,Italy,1900s,1901,,Italian computer scientist,professor; software developer,,,,https://en.wikipedia.org/wiki/Patricia_Lago,Médio
Tiziana Margaria,Europa,,1960s,1964,,Software engineer,university teacher,,Turin,,https://en.wikipedia.org/wiki/Tiziana_Margaria,Médio
Francesca Mazzia,Europa,,1960s,1967,,Italian applied mathematician,mathematician; researcher,,,,https://en.wikipedia.org/wiki/Francesca_Mazzia,Médio
Paola Mello,Europa,,1950s,1958,,Italian computer scientist (born 1958),computer scientist,,,,https://en.wikipedia.org/wiki/Paola_Mello,Médio
Michela Milano,Europa,,1970s,1970,,Italian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Michela_Milano,Médio
Linda Pagli,Europa,Italy,1950s,1950,,Italian computer scientist,computer scientist; teacher,,Livorno,,https://en.wikipedia.org/wiki/Linda_Pagli,Médio
Catuscia Palamidessi,Europa,Italy,1950s,1959,,Computer scientist,computer scientist; university teacher,,Fucecchio,,https://en.wikipedia.org/wiki/Catuscia_Palamidessi,Médio
Francesca Rossi,Europa,Italy,1960s,1962,,Italian computer scientist,artificial intelligence researcher; computer scientist,,Ancona,,https://en.wikipedia.org/wiki/Francesca_Rossi,Médio
Lorenza Saitta,Europa,,1940s,1944,,Italian computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Lorenza_Saitta,Médio
Michela Taufer,Europa,,1970s,1971,,American computer scientist,researcher,,,,https://en.wikipedia.org/wiki/Michela_Taufer,Médio
Anna Tramontano,Europa,Italy,1950s,1957,,Italian computational biologist,biochemist; bioinformatician; biologist; computer scientist; mathematician; physicist; university teacher,,Naples,,https://en.wikipedia.org/wiki/Anna_Tramontano,Médio
Paola Velardi,Europa,Italy,1950s,1955,,Professor of computer science,computer scientist,,Rome,,https://en.wikipedia.org/wiki/Paola_Velardi,Médio
Amparo Alonso Betanzos,Europa,Spain,1960s,1961,,Spanish professor and researcher,artificial intelligence researcher; computer scientist; university teacher,,Vigo,,https://en.wikipedia.org/wiki/Amparo_Alonso_Betanzos,Médio
Rosa Badia,Europa,Spain,1960s,1966,,Spanish computer scientist,computer scientist,,Mataró,,https://en.wikipedia.org/wiki/Rosa_Badia,Médio
Verónica Bolón-Canedo,Europa,Spain,1980s,1984,,Spanish computer scientist,computer scientist; university teacher,,Carballo,,https://en.wikipedia.org/wiki/Verónica_Bolón-Canedo,Médio
Gladys del Estal,Europa,Spain,1950s,1956,,"Gladys del Estal Ferreño was an ecologist activist from San Sebastián, Gipuzkoa, Spain (Caracas, 1956 - Tudela, 1979). She was killed by a bullet shot at her by the Guardia Civil d...",activist; computer scientist; programmer,,Caracas,,https://en.wikipedia.org/wiki/Gladys_del_Estal,Médio
Elena Fernández,Europa,Spain,1950s,1956,,Spanish operations researcher,computer scientist; mathematician; professor; researcher,,,,https://en.wikipedia.org/wiki/Elena_Fernández,Médio
Yolanda Gil,Europa,Spain,1960s,1963,,Spanish-born American computer scientist,computer scientist; university teacher,,Madrid,,https://en.wikipedia.org/wiki/Yolanda_Gil,Médio
Asunción Gómez Pérez,Europa,Spain,1960s,1967,,Spanish computer scientist (born 1967),artificial intelligence researcher; computer scientist; researcher,,Azuaga,,https://en.wikipedia.org/wiki/Asunción_Gómez_Pérez,Médio
Nuria Oliver,Europa,Spain,1970s,1970,,Spanish computer scientist,computer scientist; director,,Alicante,,https://en.wikipedia.org/wiki/Nuria_Oliver,Médio
